5e-07  0.475 0.5
1.53  0.008  6.94e-07
9.7216  9.72203  9.72182  -0.0102768
9.69978  9.7002  9.69999  -0.0102552
9.67801  9.67843  9.67823  -0.0102336
9.6563  9.65672  9.65651  -0.0102121
9.63465  9.63506  9.63486  -0.0101907
9.61305  9.61347  9.61327  -0.0101693
9.59152  9.59193  9.59173  -0.010148
9.57004  9.57045  9.57025  -0.0101267
9.54862  9.54903  9.54883  -0.0101054
9.52725  9.52766  9.52746  -0.0100842
9.50595  9.50635  9.50616  -0.0100631
9.4847  9.4851  9.48491  -0.010042
9.4635  9.46391  9.46371  -0.0100209
9.44237  9.44277  9.44257  -0.00999991
9.42128  9.42169  9.42149  -0.00997894
9.40026  9.40066  9.40047  -0.00995802
9.37929  9.37969  9.3795  -0.00993716
9.35838  9.35878  9.35858  -0.00991634
9.33752  9.33792  9.33773  -0.00989556
9.31672  9.31712  9.31692  -0.00987484
9.29597  9.29637  9.29618  -0.00985416
9.27528  9.27568  9.27548  -0.00983353
9.25464  9.25504  9.25485  -0.00981295
9.23406  9.23445  9.23426  -0.00979241
9.21353  9.21393  9.21374  -0.00977193
9.19306  9.19345  9.19326  -0.00975148
9.17264  9.17303  9.17284  -0.00973109
9.15228  9.15266  9.15248  -0.00971074
9.13196  9.13235  9.13216  -0.00969044
9.11171  9.11209  9.1119  -0.00967018
9.0915  9.09188  9.0917  -0.00964998
9.07135  9.07173  9.07155  -0.00962982
9.05125  9.05163  9.05145  -0.00960971
9.0312  9.03158  9.0314  -0.00958964
9.01121  9.01159  9.01141  -0.00956962
8.99127  8.99165  8.99146  -0.00954965
8.97138  8.97176  8.97158  -0.00952972
8.95155  8.95192  8.95174  -0.00950985
8.93176  8.93213  8.93195  -0.00949001
8.91203  8.9124  8.91222  -0.00947023
8.89235  8.89272  8.89254  -0.00945049
8.87272  8.87309  8.87291  -0.0094308
8.85314  8.85351  8.85333  -0.00941115
8.83361  8.83398  8.8338  -0.00939156
8.81414  8.8145  8.81432  -0.009372
8.79471  8.79508  8.7949  -0.00935249
8.77534  8.7757  8.77552  -0.00933303
8.75601  8.75638  8.7562  -0.00931361
8.73674  8.7371  8.73692  -0.00929424
